label,text
1,"I have been proud to work with @KamalaHarris on issues ranging from housing to Black maternal health, and I know she will be an exceptional, history-making Vice President. #KHive https://t.co/Ky0h0mZjB3"
0,"The phones in my Charlotte office are still offline. Please contact my Washington, D.C. office for assistance. (202) 225-1510."
0,Saddened to hear about the passing of Toni Morrison. Her words gave an eloquent voice to so many African American women who had never been heard before.
0,The deadline to enter the Congressional Art Competition is quickly approaching.If you know a student who is planning to participate please have them sign up here: https://t.co/XlSSDhCJaj https://t.co/3kDas8v4DV
0,U.S. House took bold bipartisan action to safeguard our democracy and protect the American people. I urge the Senate to do the same. https://t.co/DooYMb8kMS
0,"I truly enjoyed the message today at @GalileeNC in Charlotte. Thanks Rev. Robert McGowens, Sr., for allowing me to speak. #Vote #AbsolutelyAlmaAdams #NC12 https://t.co/HttDdhaOkB"
1,"As a woman business owner myself, I am honored to be endorsed by the National Association of Women Business Owners (@NAWBONational) in #NC12. Read more here: https://t.co/wNN8WlJJ5G"
0,@solopoloyolo @smmich @cspan @SpeakerPelosi Ask #SpeakerPelosi.  I believe in Free Press per Amendment I of our Constitution.  Why won’t the Speaker let CSPAN show the public the vote boards?  Must be 2020 politics. Just like #ShamImpeachment! https://t.co/2QmR8LstD6
0,"Last week, I traveled to India with several of my House colleagues for a Congressional Delegation trip. It was wonderful to meet with Prime Minister @narendramodi and discuss the partnership between our two great nations. https://t.co/i5bznkrxy9"
0,"I'm not even sure why they keep trying because, every time, Texas comes out ahead. Whataburger &gt; In-N-Out. Period. End of story. https://t.co/iPKk19nF8x"
0,"For over two years, the #Citgo6 have been wrongfully imprisoned in Venezuela. I am keeping them in my prayers as I continue to monitor their wrongful imprisonment. This 829-day ordeal must end! #NeverGiveUp https://t.co/1rRSC3GFc6"
0,"REMINDER: @POTUS has extended the federal income tax filing deadline to Wednesday, July 15th. During these difficult times, I applaud the President for everything he is doing to help taxpayers. Visit https://t.co/sqs6D95NKH for more information. https://t.co/U2782rwSMX"
0,"Securing our border is an essential part of protecting our nation from the violent criminals, human smugglers, and drug traffickers. An administration &amp; DHS focused on enforcing and defending our border is a welcome change from the Obama years. https://t.co/8JlVX3kikc"
0,"I'm listening to a heated 6-yr-old argument about which color everyone hates.

(apparently it's GREEN)"
0,I took seven months off from Twitter and almost forgot that we're supposed to hate each other
0,"I wanna be Emma Coburn when I grow up...

Congrats, Ladies! https://t.co/Tedij2QKKV"
0,because it's real... https://t.co/gWmkl3OoMR
0,"gotta consult the Mrs — but if it could get us to a bowl, I’m in https://t.co/ShuyeMRfAV"
1,"Last night, I discussed what I am doing in Congress to help the people of my district to the Newark City Council. https://t.co/zgAn214RBP"
0,"Dee Marshall is a great community leader and advocate for women. I always have productive meetings with her to discuss diversity and inclusion, small business issues, and community progress. https://t.co/bDvyEBugNL"
0,"I had a great meeting today with Rhonda A. Lewis, Executive Director of LISC. She and her colleagues are doing great work to improve lives in the greater Newark area. https://t.co/SqsBzj8bYG"
0,There is nothing respectful about rejecting every single reasonable gun bill proposed in the past decade. 6/
0,"Too many Republicans in Congress have sought to sweep the question of Russian interference into U.S. elections under the rug, but Americans deserve to know the extent of foreign meddling in our elections. 2/"
1,"I am pleased to be on the latest episode of the Tooth Talk Podcast - talking about my time so far in Congress and the latest dental news. Listen below!

https://t.co/9X4dJ5Evkn"
1,I wrote a letter to @SpeakerPelosi and @senatemajldr urging them to support the Coast Guard and Federal Aviation Administration(FAA) by supporting the bills I introduced to re-open them. #CoastGuard #FAA https://t.co/g00wWnLZis
1,"I am proud to be a co-sponsor of the LABEL Opioids Act, which calls for labeling prescription opioid bottles with a consistent, clear, and concise warning that opioids may cause dependence, addiction, or overdose.  @gregstantonaz https://t.co/Fw19D1bQbF"
0,"I am so incredibly fortunate that my very first Congressional interns have been so outstanding. Thank you, Karoun and Adam, for your hard work. You will always be a part of Team Levin, @aillowsky and @k_tcholakian! https://t.co/2HN9TrLDzZ"
0,"I bow with respect to the Wesleyan University students who are standing with the custodians who clean and care for the campus buildings where they live, study and play. https://t.co/9QPrG0f6kj"
0,"We are caught up in an awful situation, with an amoral president and a spineless Republican Senate. House Democrats fought as best we could—item-by-item and line-by-line—to win real improvements for desperate and innocent people."
0,"Imagine how we’d benefit by treating smaller nations with humility and respect, raising up workers everywhere and helping poorer nations tackle COVID-19 and climate change."
0,"If there is a white nationalist “base” big enough to support a presidency built on hatred and fear of these four women of color, our country is in deep trouble."
0,My primary focus as the congressman from Michigan’s 9th District is to help rebuild the middle class by making every policy decision about raising the standard of living for working people. (5/6)
0,Mr. Trump has been violating the Emoluments Clause of the Constitution each and every day since he took office. His intertwining of his business dealings with governance and his profiting off his office are beyond improper.
0,"It’s so hard to comprehend the scope of economic destruction COVID + Trump’s mishandling of it have wrought. 

“The economy has nearly 11M fewer jobs than it did before the pandemic, a bigger loss than the 8.7M at the depth of” the Great Recession.  https://t.co/cXvuG5rntY"
1,I always look forward to hearing from Oklahomans during a #TelephoneTownHall. Join me on Monday at 7pm CDT by dialing 877-229-8493 and using the passcode: 111439 to talk with me about what matters to #OK2. https://t.co/g7W9JXQD5V
0,I stand by @realDonaldTrump as he warns #NorthKorea that we will not stand for their threats. #OK2 #OK02 https://t.co/8oGC3pcYVc
0,"As a father of 5, my kids are the greatest gifts I could have ever received. After Roe v. Wade, I’m thankful someone saw life in our twin girls. #WeeklyWrapUp https://t.co/mlgNBDobzs"
1,"In this episode of the #MullinPointsPodcast, I discuss the national security threat of illegal immigration.

https://t.co/nktG3s86hl"
1,I’ll be joining @foxandfriends at 7:20am CT/8:20am ET this morning. Tune in! https://t.co/twXbfMFNht
1,I'll be on Fox's @AmericaNewsroom this morning at 11:40 discussing the long overdue name change of the Washington football team and the fight for #DCStatehood.
1,I’m joining MSNBC at 12:10 to discuss the latest on the impeachment inquiry. Tune in!
0,"For years, Republicans have refused to recognize science. Now they are making their war on science official policy by banning the words “science-based” and “evidence-based.”"
0,"@julieformusic .@julieformusic, my office and I are making phone calls right now. Please DM us to give us the latest. I will do everything possible to make sure your mom is helped."
0,"I may be the first South American member of Congress, but I am determined to not be the last.

That's why I was thrilled to join @EvaLongoria &amp; some amazing Latina candidates for the launch of @LatinoVictoryUS' #FirstLatinas program! https://t.co/Ch8a5H8bYA"
1,"I’m in Islamorada holding a roundtable with @TransportDems and community leaders to discuss what we can do to #ProtectCleanWater. 

Tune in LIVE: https://t.co/4Wa4uDQQyd"
0,I’m committed to doing all we can to fight for common sense gun reform to reduce violence in our communities. That fight begins with requiring universal background checks.
0,"I’m also wearing my #ERA pin to highlight the Equal Rights Amendment, because it’s past time women’s equality is included in our Constitution! #ERANow #ERAYes @HouseDemWomen https://t.co/CH3Wbva1Fi"
0,@JoeWilesInFla Joe you can private message me anytime and we can have this discussion. I’m sure you and I would agree on this so let’s do it!
0,"Today marks a tragic milestone in one of the most deadly crises our nation has ever faced.

We mourn the more than 100,000 lives that we’ve lost.

We must honor them by making sure we protect those who are still with us. https://t.co/XSFrnPNvgg"
0,"Tenemos una escasez de enfermeros y médicos que ha empeorado durante la pandemia.

Tenemos profesionales médicos extranjeros listos para servir a nuestras comunidades.

Necesitamos esta legislación que acabo de presentar para que puedan empezar lo más antes posible. https://t.co/JudoBHpwt9"
0,"Robert, an aviation safety inspector in #FL26, can’t afford to pay for his mother’s medical care because of the #GOPshutdown. We voted to #EndTheShutdown but Republicans are threatening people’s lives by not re-opening the government. @senatemajldr @marcorubio @SenRickScott https://t.co/rXUeKzrWON"
0,@kylegriffin1 Next time he should be interviewed by a member of the @HouseJudiciary
1,I’ve gone to the Senate floor almost 100X to share Dreamers' stories — they deserve a fair shot at the American Dream. #defendDACA
0,"I am mourning the loss of my friend and former colleague Senator Kay Hagan, the definition of  a public servant and tireless fighter for families. I’m sending prayers to her family and friends. https://t.co/AhnXPmdyXF"
0,"After months of flooding, many Illinois farms have faced a difficult planting season this year. I’m proud to support the federal efforts to provide necessary recovery assistance to our farmers. https://t.co/Hsww3RWsuC"
1,"@POTUS And just last month, I sent a letter to @TheJusticeDept to provide increased support for gun violence prevention → https://t.co/zX3ipt8JrW"
0,No American should be worried about being exploited by predatory lenders during this public health crisis. I’m proud to join @SenSherrodBrown in urging financial regulators to protect consumers during #COVID19. https://t.co/MMwZVTkxDt
0,"I was grateful for the opportunity to talk to students at the Muslim Community Center Academy earlier this week.
https://t.co/pkFjVYHMgw"
0,"It is up to at least four GOP Senators to take a stand for truth and fairness and call for witnesses, documents, and an impartial pursuit of justice in this impeachment trial."
0,Republicans cannot simply dismiss Dr. Ford’s allegations with a conference call. These are serious and credible allegations. Thursday’s vote must be delayed.
0,When will Congress stand up and close loopholes that allow guns to get in the hands of dangerous people? We need action.
0,"The termination of Temporary Protected Status endangers another 300,000 immigrants, further proving this President’s aversion to immigrants fleeing violence."
0,Thanks @ILAttyGeneral Madigan for working to protect Illinois students from predatory student loan services https://t.co/gdnDKBWcOA
1,Our bill will provide states with resources to better enforce ‘Move Over’ laws and help keep our first responders safe — including the implementation of life-saving vehicle technology. You can read more here: https://t.co/oCVvBjqHyO
0,"Because of the backlash, the Trump Administration is no longer separating families. Instead, they want to jail them indefinitely."
1,Joining @Axios this morning at 8am ET to discuss the just-passed #FirstStepAct. This bill is proof that the Senate can work together for the good of our nation. Watch the discussion live on CSPAN2. #Axios360
0,This tweet is not accurate. Committee Republicans must correct it. See our letter here: https://t.co/trJ9ymDjee https://t.co/cCVpAwCzEI
1,Sat down with local mayors and transportation leaders in Galesburg today to discuss the future of Amtrak’s long distance service and Illinois cities served by these routes. https://t.co/w792nOrB9U
0,#WorldPressFreedomDay is a time to remember those journalists who lost their lives in the pursuit of the truth and those who work each and every day to protect democracy.
0,More American troops to the Saudi peninsula is a dangerous escalation. Not enough troops to make a difference &amp; too many American lives at risk. Pres. Trump’s Iran strategy goes from bad to worse. https://t.co/mgzyl8O3u0
1,I’ll be joining @NewDay shortly to discuss the #DACA program as we prepare to hear oral arguments in its case before the Supreme Court later today. Tune in. #HomeIsHere #ProtectDreamers
0,I’m honoring our veterans this #MemorialDay @VAPhiladelphia! https://t.co/ZOveLq6q1Z
0,".@RepFiedler @SenHughesOffice &amp; colleagues are fighting to make sure our students have a safe and healthy environment in which to learn.
 
I’m fighting at the federal level for the same cause!
https://t.co/2lLkBIAkuY
 
#FundOurFacilities #PHLed"
0,I've got my tennis shoes lace-up and am ready to support my local shops this holiday season! #shoplocal #smallbusinesssaturday https://t.co/6hXSb198QX https://t.co/s9rc2no5NI
1,"(1/4) Because every day can &amp; should be National Healthy Schools Day, I introduced a resolution with @RepDean designating May 1 as National Healthy Schools Day! https://t.co/TNGAi5rqFy"
1,"I'm proud we passed the HEROES Act. We must take the kind of bold action the American people need and deserve. 

Learn more about what's in House Democrats' fourth relief bill: https://t.co/UVvzOZxzpi https://t.co/GduATVixTv"
0,Bump stocks are still readily available and on the market after Vegas shooting. This is outrageous and should NOT be the case!
0,"Like and RT if you agree: Before Speaker Paul Ryan leaves Congress, he should work w/ Dems to tackle America’s crumbling infrastructure and raise the minimum wage!"
0,"@StahlCBS3 Bipartisan SE PA Lawmakers Press for Most-Burdened Hospitals to Get Priority for CARES Act Funding; Cite White House Designation of Philly as Possible ‘Hot Spot’:
https://t.co/EuUt4sYXL6 https://t.co/JrlZDdAmDF"
0,@CeaseFirePA Thank you for what you do. 👊🏿👊🏿👊🏿
0,Do what you can to push @ConorLambPA across the finish line in #PA18 and send another Democrat to D.C. from Pennsylvania. #GOTV https://t.co/Uay1jLYkDu
0,"This morning, I and other Members of Congress were briefed by Governor DeSantis, the National Hurricane Center, FEMA, the Florida Dept. of Emergency Management, and the Red Cross ahead of Hurricane Dorian’s expected impact on Coastal and Central Florida."
1,I’ll be on @TeamCavuto in about 15 minutes talking about the Inspector General report. Tune in!
1,"When workers organize, good things follow. Better pay, better benefits, and fair treatment should be the minimum in every American workplace. I'm honored to announce an endorsement from @seiufl, and ready to keep up https://t.co/tEofSSCUaZ"
1,"Organizations called “Community Health Centers” care for medically-vulnerable Americans across the country, but have struggled to make ends meet during this pandemic. I wrote with @RepEliotEngel to @SecAzar asking for immediate support for these centers."
0,To the people who insist on not wearing a mask: what are you trying to prove? Why not protect yourself and others?
0,"We pray for the victims and those left behind in Santa Fe, Texas, but how did this happen? Why did it happen? What will Congress do about it?"
0,The voices of the American people—your voice—may be the grain of sand that tips the scale as each Senator weighs their duty to country over party. Don’t be silent.
0,The President is attacking the Speaker of the U.S. House of Representatives. He just does not get it. He does not understand the fifty stars and thirteen stripes of our Flag.
0,"Now the GOP is trying to pass an amendment removing our ability to have trained attorneys ask questions of the witnesses to President Trump’s crimes and corruption.

Begs the question: what are they afraid of? https://t.co/cbVVigPiqR"
0,Disappointed to hear @realDonaldTrump reference the Las Vegas shooting without any new plans to control our epidemic of gun violence. #StateOfTheUnion
0,"I appreciate Linde Corporation for allowing me to tour their facility today in Pittston. Linde is a home-grown business and an outstanding partner to our natural gas industry, helping to ensure we have clean and affordable energy. #PA12 https://t.co/JLBmy4SXFu"
0,"I’m glad that, after 59 days of denying the humanitarian and security crisis at our border, and blocking 18 attempts by Republicans to fix it, the Democrats have finally recognized the need for action. https://t.co/YyYu1r7dSS"
0,"Enjoyed visiting the Perry County Fair yesterday! I met Lyssa Taylor from Thompsontown, who raised the goat pictured here, and spent time at the Perry County Republican Committee booth. https://t.co/LLJJ8xZNAS"
0,I enjoyed touring @TexasOncology yesterday &amp; discussing important issues facing #TX32 doctors including combating the opioid epidemic. https://t.co/w9eRiQSGXl
1,"I'm heading to the @HouseFloor to manage the rule on H.R. 1, the Tax Cuts and Jobs Act. Watch LIVE on @Cspan"
0,I’m eagerly anticipating the panels investigating the Russia-Uranium One deal that occurred under Obama &amp; Hillary. https://t.co/chVDS6gcHA
0,"Thank you to everyone who came out this chilly morning. I had a great time marching with the people of Garland to celebrate the life of Dr. Martin Luther King, Jr. https://t.co/s2jkuxjOOH"
1,"I'm looking forward to joining @MarkDavis on @660KSKY at 8:05 AM CST to talk about the Make America Secure bill, Russian sanctions &amp; more"
0,"Happy Easter! Have a wonderful holiday with your family. “For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.” John 3:16 https://t.co/5Br5v9dFB3"
0,Russia and North Korea pose a direct threat to US &amp; global security. Today the House will vote to hold them accountable.
0,Love this! I’ve gone fishing with veterans in the Eastern Panhandle and know this program is life changing for so many! https://t.co/PV1FOoAbRu
1,"Sexual harassment under any circumstance and in
any setting is simply unacceptable. I spoke with @WSAZnews on my leadership in
making needed changes. WATCH: https://t.co/oh7pI4cPj4"
1,A lot has been accomplished over the last five years. I’m proud to file for reelection today based on my record of delivering for families and communities across our state. #provenconservative #capito2020 https://t.co/pbcy0WozMW https://t.co/NqGMlCgdDM
1,"Veterans can often face difficulties acclimating after their time serving. Today, I’m pleased to announce West Virginia will receive grants totaling more than $7 million dollars to support homeless veterans. Learn more: https://t.co/Fg3xfB8KGe https://t.co/SkDSKfUrjf"
1,"The MOMS Act will modernize and expand much needed maternal care across rural America. I am proud to be a co-sponsor of this important bipartsian piece of legislation!
https://t.co/PX3QxLiLDO"
0,But it is never appropriate for anyone – especially an elected official who has sworn an oath to uphold our Constitution – to threaten a judge based on the decision he or she might reach in a particular case.
0,"@GOP Today, @WVGovernor Justice joins me, other GOP leaders in WV who stand for policies that will improve the lives of West Virginians"
0,"We’ve tackled challenges head on and delivered real results this year, and I’m looking forward to accomplishing even more for West Virginians. https://t.co/bYOv75eGpS"
0,I love that South Dakota REC invests in our kids and helps them experience our Capitol! Very neat. https://t.co/cho0RUZ9Ku
0,"I spent the day in Mobridge today! We started with a town hall, visited with ag and business… https://t.co/eXO0anowCF"
1,"NEW THIS WEEK&gt;&gt; Pheasant populations are up 47% this year (which is tremendous news), but we still have a ways to go. I've proposed solutions to increase habitat and target predators. Learn more&gt;&gt; https://t.co/sJKNhW0PH2"
0,Thank you so much for these kind words. I agree - strong families create strong states. And strong states create a strong country. 🇺🇸 https://t.co/YTZ2ViYKbQ
0,"Having served in Congress with several members of the Kennedy Family, including Congressman Joe Kennedy II, and currently with son Congressman Joe Kennedy III, and with the late great Senator Ted Kennedy, I know them to be true Public servants..."
0,"I was so pleased to be welcomed by Ghanaian Leadership upon arriving in Accra, Ghana for the year of return on Sunday. https://t.co/tzYYhcKuqJ"
0,"3/3 America, a change is coming. I will do everything I can to see them victorious in November. #BidenHarris2020"
0,"Check on your neighbor, check on your friend. Make sure that they are safe. If we do, then we’re going to get through this storm just fine."
1,I have a #coronavirus Info Center with preventative measures and links to the latest updates in both English &amp; Spanish on my website: https://t.co/WkOGekubqk
1,I send emails with updates about #coronavirus and also to get your input. Sign up for those emails here: https://t.co/TOGySXSWh2
0,"Tonight during my telephone town hall, I acknowledged the pride many of us feel at seeing Alex Bregman playing in his 2nd World Series. We’re proud of our hometown #ABQ Astro👏🏾"
1,"I appeared live with @chrislhayes to talk about this pandemic and the lack of leadership this President has displayed when it comes to getting Indian country the funding they need. It's shameful quite frankly! 

https://t.co/OwzF1BN20h"
0,The politics of division is how this Administration works. We are here to serve our country. Our families are here. Our kids are here. We are here. I stand with my sisters.  https://t.co/FvnJ9w55Bx
0,"In New Mexico, Native Americans make up less than 11% of the population but are more than half of the coronavirus cases."
0,"We must ensure healthy lives for all by cleaning up  health hazards, replacing lead pipes, and ensuring equitable access to health care, especially in communities that have endured disproportionately high COVID-19 death rates"
0,"Thank you to @tewawomenunited who has been working to end violence against Native women and girls since 1989. The work they do is vital to Native women and communities not only in New Mexico, but nationwide. #EmpoweredWomenEmpowerWomen 

https://t.co/5SqNOiyvDH"
0,"Wow, a country that’s taking the lead on climate! If only we had a President who understood the existential threat we’re facing. #ActOnClimate https://t.co/GWYOmFxfnA"
0,The disregard for the careers and expertise of the public servants at BLM makes it clear that this reorganization has never been a good faith effort to improve services for our communities. https://t.co/z0UMLlGFqI
0,The Coalition to Stop Violence Against Native Women is doing intensive work on the ground to raise awareness about this epidemic. I am an ally and working on ways to address this tragic reality for native communities. #SilentCrisis #MMIW https://t.co/tvHBOLFtKv
0,"Good luck to the @USWNT as they're facing Sweden in the final game of this stage in the #FIFAWWC. As they’re keeping up the fight on the field, I’ll continue the fight for #equalpay – it’s a shame they outperform men’s game earnings &amp; still make less pay. https://t.co/pHBTBwMK1g"
0,"I toured the Minneapolis VA Hospital today with our Veterans Outreach Fellow, Angelo, to ensure that our active-duty soldiers and veterans have access to quality health care, including mental health care that they deserve. https://t.co/wMSRyST75G"
0,I had the chance to speak to @MNRuralElectric this week about working together to bring the resources and infrastructure Greater Minnesotans need to build good lives wherever they want to live. https://t.co/S615bFY8Pw
0,I'll continue to fight for Minnesota's rural communities every day that I represent you in Congress.
0,"I’m so proud of Red Wing for taking this critical step last month, and making our world safer for the LGBTQ community. Conversion therapy harms people, and should be banned across Minnesota and our country. 
https://t.co/K9ugbQLK1O"
0,Can’t thank Dakota County Commissioners Atkins and Workman enough for a meaningful discussion today. I look forward to being your partner on federal transportation and infrastructure investments and keeping our communities thriving. https://t.co/iXw3SC2OZw
0,"My heart breaks for Virginia Beach and our lack of action on gun violence prevention. Minnesota stands with the Public Works employees, families and entire community as we face yet another horrible tragedy."
0,Thank you to Dakota County Commissioner @MikeSlavik and Sheriff Tim Leslie for updating me on our efforts to keep Dakota County safe.
0,"Residents of Wabasha County, you still have time to make sure your voice is heard this November! Go to https://t.co/T7ovthYELL to request your vote by mail ballot today. https://t.co/gtm7qpZtJ6"
0,"Soleimani was an evil man, responsible for the deaths of thousands. But last night’s pre-emptive airstrike on Soleimani has significantly escalated the tensions with Iran, putting the safety of American servicemembers, diplomats and others at risk."
0,"Wishing my friend @RobertBiermanMN a speedy recovery, and wishing him well as he serves the communities of Apple Valley and Lakeville. I can't wait to fight for our communities with you."
0,Wishing you and your family a very Merry Christmas! I hope your holiday is filled with joy and shared with those you love. https://t.co/evsIaZFIel
0,"One year ago, Dr. Ford showed us what true courage looks like. 

I believed her then, and I still believe her now. https://t.co/LjgA8JN8Ux"
1,"I’m proud to fight #ForThePeople every day. Last week, we passed legislation that invests in public health, arts &amp; education, and programs that enrich the lives of our children, students, and all Americans. https://t.co/juQX22SwCP"
1,"Climate change is one of the most immediate and pressing challenges globally, nationally, and locally right here in South Florida. I'm thankful for the @SierraClub's endorsement and will always fight for our environment. https://t.co/lFD6zJWyO3"
1,I'll be live w/ @BumpColley on @topstoryklix at 9:15 am MT. Topic: my new #refugee reform bill. Tune in: https://t.co/YztLW1Sqio
1,I am honored to have received the Freedom Fighter award by @FreedomWorks for the fifth year! https://t.co/LvfrATeHAy
0,I‘m talking with Julie Mason and @realneallarson about ending the government practice of picking winners and losers. The Idaho Post Register disagrees with me. Here is my response to them: https://t.co/aTfwn2oehm…  #idpol
0,Kabuki theatre to cover up for the President’s illegal action.. https://t.co/ZinUn5E08v
0,Jurassic Park + Fast and Furious crossover movie. I think my son maybe  onto something. https://t.co/IzrOSpOifz
0,"In March, @dougducey said “nobody should be forced out of their home because of #COVID-19.” At today’s presser, I urge the Governor to extend his stay of evictions to keep Arizonans safe at home. https://t.co/G4LFHS3ywC"
0,I know because I did it. Senator Tillis could never do one full shift at a meat packing factory. Respect the people that feed America.
0,I'm meeting with AZ Dreamers tonight to discuss what's at stake now that DACA is ending. Congress needs to pass #DREAMAct now. https://t.co/nFB249MyQR
0,If you are depending on that $1200 check from your Federal Government well tough luck the President’s narcissism is slowing it down. Much like it probably cost us thousands of American lives.
0,Sad to hear of the passing of my colleague and friend @LouiseSlaughter. She was a powerful voice in Congress throughout her truly impressive career. My sincere condolences to her family and loved ones.
0,The FBI and law enforcement need the same tools to go after domestic terrorism as they use to go after AQ and Isis.
0,"George Floyd was murdered. Our President is inciting violence. We need justice- and that must include long-term, systemic change."
0,Families of Marines killed in 1983 in Lebanon deserve justice. Happy to work across the aisle and with my friends in the Senate to help them in this fight. Semper fi! https://t.co/OGtZUrWkMj
0,"Just putting aside the fact that Venezuela is way bigger and better armed then Grenada was, why are we spending manpower and money on a country that poses no threat to our national security or interest? https://t.co/J5OcBhXZzp"
0,@03foxtrot @DununLiberation @Run_GRP You can always tell me what you think brother.  I love you and respect you.  I am sorry people have been assholes on this tweet. And yes fuck wagbag.
0,"Standing in solidarity with gig workers striking today, I'm calling on the CEOs of @Uber, @Lyft, @Instacart and @DoorDash to guarantee personal protective equipment, hazard pay and permanent paid sick leave for all their workers. https://t.co/5a370H71vx"
0,I'm proud to endorse our next three Health Care Heroes - all fighting to hold the GOP accountable for their attacks on health care: @Abby4Iowa @Kelly4SouthrnIL and @ElissaSlotkin. Support them here! https://t.co/08VKd7Tq9B https://t.co/t1Kxmw7Trg
0,"Along with @RepGraceMeng, I'm calling on Congress to provide $2 billion so that schools and libraries can purchase Wi-Fi hotspots, modems, routers, and internet-connected devices for students. https://t.co/h1bB4SThn9"
1,"I’m proud of my legislative record. I won’t embellish it. Or take credit for the work of others. 

This is what I’ve fought for and passed: https://t.co/L1xYxWkY1D"
0,"Community Health Centers are severely underfunded.

I’m calling for $70 billion in funding to save lives in every corner of this country.

We don’t have time to waste. We need this funding now."
0,Decency strengthens democracy. @GDouglasJones is a voice for justice and equality - excited to welcome him to Washington in the coming days.
0,Big congrats to @AyannaPressley -- she'll be a force of nature in Congress just like she's been in Boston. Look forward to adding her voice to the delegation!
0,"There is no justice in an unjust system. 

This isn’t close to good enough."
